Date,MTZ,MPC,AP,HY,PX,MRNJ,IDNG,DKSC,ABLE,INFO,EXQNF,GAMR,CFGX,IPRU,VWDRY,CDOM,KDUS,CMGO,DEER,VPOR,RIGH,OTCM,INCC,MINE,GRCU,BDTTZ,FNMA,PTAH,CMAKY,SLOT,PANG,GRDO,SKYF,HUGE,PLKD,AXXE,DPSGY,PCRFY,SOFT,NWTR,IDEA,OTHM,BEST,SLNX,BCYP,FDMF,LGBS,WRAP,EMIS,VSTR,PUNK,SOME,CICHY,CNAB,VIVHY,IDGC,SOTK,SKLN,FBCD,ELEZY,DROP,TXTM,DEQI,OTOW,GRNE,MYEC,SBUM,EFFI,FRCN,FOGC,RONE,MTVX,BCDH,SUMM,NTEK,PGENY,DKGR,ITALY,ESYJY,SGGH,BKESY,HALB,NXTD,MAKE,COSM,BEEN,QASP,FPFI,PSID,GLDG,FITX,COIL,COPY,PGFY,NSAV,SNET,EADSF,RMLX,TBEV,UNRG,PURA,PGLC,OMTK,BRDT,SIVE,GLBH,SPBU,ORFG,WGBS,BODY,RESS,SLTD,NTDOY,ESSE,CFSU,MRNA,DSCR,GIGL,EWRL,GEIG,BTCC,MLHC,ENCR,SIBE,PAWS,ITEC,ISLT,OCBM,VGPR,NEWL,GCEI,MELY,ASDS,GRLT,CMXI,ATTBF,DRSX,LYFE,FPNUF,CCPI,ITVI,SING,OPCO,SFMI,ITNS,COCMF,LINK,ALSO,SOIS,HKUP,MLWN,AUSI,WAFR,POSC,PCWT,MMMM,IRLD,MERR,CAPS,ANAS,THCZ,HEMP,IDAD,HCBP,SURE,WNTR,GEAR,BAYP,TEMN,DPDW,AFMCF,PLCSF,CPNFF,ELTP,VOIS,LHPT,MOST,MDBX,HLXW,BETS,MCIG,NNLX,TRTC,AMEL,RIVE,LIGA,FRMO,GTMM,EXEO,MSSI,FOUR,IFNNY,SOUP,ADENF,EDXC,GBGM,XPOI,SRRE,CITY,DION,DIDG,SSNLF,ERFB,FAME,UNGS,AXCG,EWSI,SFTBF,STLK,MAXD,PARA,PDGO,HRZL,EVSV,ABRW,IHGP,ELRA,MNGGF,EPGL,DIGX,MNVN,ZERO,WILD,BCAP,TCEL,ECAU,DRAG,CJTF,CBIS,ABKI,VCST,CYCA,FILM,USPR,OGZPY,DUBL,NANX,IWEB,HPNN,INTK,TREN,EONGY,ITEN,AAGC,EMBR,RAYS,HERB,ATCH,FLST,DRIO,DLPM,EXMGF,HNGSF,BALMF,OCBB,SBOTF,RAIO,DEMO,EUUNF,ALSI,CAST,UPZS,GLCO,GEEK,WFMC,INTO,CGEAF,TTXP,HAIR,NASV,WDAS,PTOI,VISI,CCTC,HEME,FUTU,SVAD,NFTI,GSFVF,DIALF,NEGS,LUMP,EZJR
2014-08-19 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-20 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-21 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08-22 00:00:00,1,1,1,1,1,1,1,4,19,19,1,1,3,27,1,1,1,23,2,10,22,9,32,16,12,1,7,12,3,24,1,26,16,5,14,1,1,1,3,10,3,41,26,1,1,1,1,1,1,28,3,3,2,2,1,11,1,1,5,1,4,1,2,1,3,29,1,3,1,1,1,12,14,1,8,1,19,2,2,1,2,3,5,5,2,1,4,16,3,20,8,1,11,1,3,3,1,1,22,1,1,1,1,2,2,3,4,7,1,6,1,4,2,1,1,3,4,1,8,14,1,18,4,1,1,1,1,1,4,1,1,6,1,2,1,2,1,1,1,1,1,1,1,1,9,1,2,1,1,2,1,1,11,4,1,1,1,1,2,1,4,2,1,1,3,4,2,1,1,2,1,1,1,1,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,12,1,1,1,1,14,5,1,2,1,2,1,1,1,1,1,4,1,3,10,2,1,3,8,1,1,2,1,3,2,1,1,1,1,2,1,1,13,2,1,7,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
2014-08-23 00:00:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,1,1,1,1
